состояний: 135 

authenticated.card.doc                                     /doc                                 Документы
authenticated.card.doc.edit                                /show/:id                            Редактирование документа
authenticated.card.doc_create                              /docs?save                           Создание документа
authenticated.card.doc_create.sell                         /sell?fromDoc                        Продажа
authenticated.card.doc_create.purchase                     /purchase?fromDoc                    Закупка
authenticated.card.doc_create.return_sell                  /return-sell?fromDoc                 Возврат продажи
authenticated.card.doc_create.return_purchase              /return-purchase?fromDoc             Возврат закупки
authenticated.card.doc_create.changes                      /changes?fromDoc                     Корректировка
authenticated.card.doc_create.changes_inventory            /changes-inventory                   Инвентаризация
authenticated.card.doc_create.changes_in                   /changes-in?fromDoc                  Оприходование
authenticated.card.doc_create.changes_out                  /changes-out?fromDoc                 Списание
authenticated.card.doc_create.moving                       /moving?fromDoc                      Перемещение
authenticated.card.company                                 /company                             Компания
authenticated.card.company.settings                        /company/settings                    Настройки
authenticated.card.company.settings.main                   /main/                               Настройки компании
authenticated.card.company.settings.requisites             /requisites/                         Реквизиты
authenticated.card.company.settings.taxes                  /taxes/                              Налоги
authenticated.card.company.settings.newsletter             /daily-report/                       Email-отчет
authenticated.card.company.settings.data                   /data/                               Данные
authenticated.card.company_requisites_sidebar              /requisites-s/                       Реквизиты компании
authenticated.card.company.staff                           /staff/                              Сотрудники
authenticated.card.company.stores                          /stores/                             Магазины
authenticated.card.company.accounts                        /accounts/                           Счета
authenticated.card.company.loyalty                         /loyalty                             Лояльность
authenticated.card.company.loyalty.bonus                   /bonus                               Бонусная система
authenticated.card.company.loyalty.discounts               /discounts                           Скидки
authenticated.card.register.cash                           /cash                                Кассы
authenticated.card.register.download                       /download                            Скачать программу
authenticated.card.register.addBox                         /add                                 Создание кассы
authenticated.card.register.editBox                        /edit/:register_id                   Редактирование кассы
authenticated.card.register.showBox                        /show/:register_id                   Просмотр кассы
authenticated.card.register.shift                          /shift                               Смены
authenticated.card.register.showShift                      /show-shift/:shift_id                Просмотр смены
authenticated.card.integrations                                                                 Интеграции
authenticated.card.integrations.list                       /integrations/                       Интеграции
authenticated.card.integrations.item                       /integrations/:pluginName?tab        Настройки
authenticated.card.integrations.installedItem              /integrations/installed/:pluginId    Настройки
authenticated.card.integrations.log                        /integrations/log/:pluginId          Журнал действий
authenticated.card.doc_print_templates                     /print-templates                     Печатные формы
authenticated.card.catalog.import                          /import                              Импорт товаров
authenticated.card.events                                  /events                              Предстоящие события
authenticated.card.supplier                                /supplier                            Поставщики
authenticated.card.supplier_add                            /suppliers/add                       Создание поставщика
authenticated.card.supplier_show                           /suppliers/show/:suppliers_id        Просмотр поставщика
authenticated.card.supplier_edit                           /suppliers/edit/:suppliers_id        Редактирование поставщика
authenticated.card.reports                                 /reports                             Отчеты
authenticated.card.reports_product                         /reports/product                     Отчеты
authenticated.card.reports_categories                      /reports/categories                  Отчеты
authenticated.card.reports_set                             /reports/set                         Отчеты
authenticated.card.reports_day                             /reports/day                         Отчеты
authenticated.card.reports_week                            /reports/week                        Отчеты
